tipo;situacao;data;hora;bairro;endereco;numero;complemento;natureza;descricao;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais
COLISÃO;CANCELADA;2018-09-25;7:58:00;BOA VIAGEM;RUA FRANCA PEREIRA;115;EM FRENTE AO EDF STUDIO PORTAL DOS CORAIS;COLISÃO;SEM VITIMAS;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-09-25;8:00:00;DERBY;AV GOVERNADOR AGAMENON MAGALHAES;;PISTA LOCAL, SENTIDO BOA VIAGEM E/F AO HAPVIDA;COLISÃO;COM UMA VITIMA. GM FLAVIO (PONTO FIXO) NO LOCAL.;2;;;;;;;;;1;
COLISÃO;PENDENTE;2018-09-25;8:20:00;ESTÂNCIA;AV RECIFE;;E/F AO WALMART S/T CID;COLISÃO;COLISAO ENTRE DOIS AUTOS S/V;;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-09-25;10:32:00;TEJIPIÓ;AV LIBERDADE;;E/F AO PRESIDIO ANIBAL BRUNO;COLISÃO;COLISAO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-09-25;10:49:00;TAMARINEIRA;RUA PADRE ROMA;;COM AV ROSA E SILVA  NO SEMAFORO 061;COLISÃO;COLISAO ENTRE DOIS AUTOS S/V;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-09-25;11:28:00;ARRUDA;RUA ZEFERINO AGRA;254;COM A RUA PROFESSOR  JOSE DOS ANJOS, EM FRENTE AO CANAL;COLISÃO;AUTO E MOTO;1;1;;;;;;;;0;
COLISÃO;FINALIZADA;2018-09-25;11:31:00;GRAÇAS;"RUA ENGENHEIRO EDGAR D'AMORIM";85;LAVANDERIA LAVARE, SEMÁFORO 521;COLISÃO;SEM VÍTIMAS.;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-09-25;11:37:00;CORDEIRO;AV ENGENHEIRO ABDIAS DE CARVALHO;246;LOGO APÓS O COMPAZ;COLISÃO;EM FRENTE À FARMÁCIA BONGI;2;;;;;;;;;0;
COLISÃO COM CICLISTA;FINALIZADA;2018-09-25;13:09:00;FUNDÃO;AV BEBERIBE;3494;PROX. AO POSTO BR;COLISÃO COM CICLISTA;ONIBUS E CICLISTA;;;;1;;1;;;;1;
COLISÃO;FINALIZADA;2018-09-25;13:54:00;BOA VISTA;RUA DA UNIAO;115;ESQUINA COM RUA MAMEDE SIMOES;COLISÃO;DOIS AUTOS S/V;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-09-25;14:10:00;SÃO JOSÉ;RUA DO PEIXOTO;1320;COM AV. DANTAS BARRETO, PROX. AO CAMELODROMO;COLISÃO;ONIBUS E MOTO;;1;;;;1;;;;1;
COLISÃO;FINALIZADA;2018-09-25;14:37:00;AFOGADOS;RUA VINTE E UM DE ABRIL;;PROX. A MASTER BOI;COLISÃO;ONIBUS E AUTO;1;;;;;1;;;;0;
COLISÃO;FINALIZADA;2018-09-25;15:17:00;BOA VIAGEM;RUA PROFESSOR JOAO MEDEIROS;533;PROX. AO EMPRESARIAL UNIVERSAL CENTER;COLISÃO;DOIS AUTOS S/V;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-09-25;15:30:00;CORDEIRO;RUA N S DA SAUDE;153;PROX. A IGREJA BATISTA E CHAMBARIL DO DANIEL;COLISÃO;DOIS AUTOS S/V;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-09-25;15:31:00;VÁRZEA;AV AFONSO OLINDENSE;1990;NA PRAÇA DA VARZEA  VT 18 NO LOCAL;COLISÃO;COLISAO ENTRE CAMINHAO E MOTO COM UMA VITIMA;;1;;;;;1;;;1;
COLISÃO;FINALIZADA;2018-09-25;15:41:00;BOA VIAGEM;RUA JOSE DA SILVA LUCENA;;POR TRAS DA FERREIRA COSTA;COLISÃO;COLISAO ENTRE UM CARRO FORTE E AUTO S/V;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-09-25;15:43:00;PRADO;EST DO FORTE DO ARRAIAL N. DO B. JESUS;;COM RUA ADELINO FRUTUOSO;COLISÃO;COLISÃO COM VITIMA;1;1;;;;;;;;1;
COLISÃO;FINALIZADA;2018-09-25;17:02:00;CABANGA;PTE GOVERNADOR PAULO GUERRA;;PROX. AO SEMAFORO 661, SENT. BOA VIAGEM;COLISÃO;AUTO E ONIBUS;1;;;;;1;;;;0;
COLISÃO;FINALIZADA;2018-09-25;17:11:00;IMBIRIBEIRA;RUA ARQUITETO LUIZ NUNES;;SEMAFORO 634;COLISÃO;AUTO E MOTO;1;1;;;;;;;;1;
COLISÃO;CANCELADA;2018-09-25;17:17:00;BOA VIAGEM;AV CONSELHEIRO AGUIAR;;NO SEMAFORO 146;COLISÃO;COLISAO ENTRE DOIS ONIBUS S/V;;;;;;2;;;;0;
COLISÃO;FINALIZADA;2018-09-25;17:59:00;ILHA DO RETIRO;RUA ASTORGA;70;CRUZAMENTO COM A RUA COMENDADOR BENTO AGUIAR;COLISÃO;UNO X ONIX;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-09-25;18:11:00;TORRE;RUA CONDE DE IRAJA;;EM FRENTE A IGREJA CATOLICA DA TORRE;COLISÃO;COLISÃO SEM VITIMA;2;;;;;;;;;0;
COLISÃO;CANCELADA;2018-09-25;18:13:00;IPUTINGA;RUA BOM PASTOR;24;SEMAFORO 008 // POSTO BR CRUZAMENTO COM AV CAXANGA;COLISÃO;GOL X  VEICULO DE AUTO ESCOLA;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-09-25;18:41:00;CORDEIRO;AV ENGENHEIRO ABDIAS DE CARVALHO;;E/F A ARENA CAMARÃO, SNT CIDADE  / PRÓX AO COMPAZ;COLISÃO;ENTRE AUTO E CARRETA. S/V;1;;;;;;1;;;0;
ATROPELAMENTO;FINALIZADA;2018-09-25;18:52:00;SÃO JOSÉ;AV DANTAS BARRETO;251;CRUZAMENTO COM A RUA SIQUEIRA CAMPOS;ATROPELAMENTO;ONIBUS X PEDESTRE;1;;;;1;;;;;1;
COLISÃO;FINALIZADA;2018-09-25;19:24:00;PRADO;RUA HERCULES FLORENCE;21;CRUZAMENTO COM A RUA CARLOS GOMES;COLISÃO;NISSAN VERSA X PRISMA;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-09-25;19:27:00;ESPINHEIRO;AV JOAO DE BARROS;;E/F A FARMÁCIA EXTRAFARMA, SNT ENCRUZILHADA;COLISÃO;ENTRE 2 AUTOS. S/V;2;;;;;;;;;0;
COLISÃO;FINALIZADA;2018-09-25;19:36:00;AREIAS;AV DR JOSE RUFINO;;SEMAFORO 044  // ROX A ENTRADA DE JARDIM SAO PAULO;COLISÃO;MOTO X UNO;1;1;;;;;;;;1;
COLISÃO;FINALIZADA;2018-09-25;20:02:00;ESPINHEIRO;RUA QUARENTA E OITO;630;E/F AO RESTAURANTE CHINÊS / FINAL DA PRC 48;COLISÃO;ENTRE AUTO E MOTO. C/V;1;1;;;;;;;;1;
COLISÃO;FINALIZADA;2018-09-25;20:12:00;BOA VIAGEM;RUA BARAO DE SOUZA LEAO;;CRUZAMENTO COM A DOMINGOS FERREIRA // SEMAFORO 190;COLISÃO;MOTO X SANDERO OBS:: BATEDORES 12 X 13 NO LOCAL;1;1;;;;;;;;1;
COLISÃO;FINALIZADA;2018-09-25;22:00:00;AFLITOS;AV CONS ROSA E SILVA;225;E/F AO EDF ANGUSTURA PRINCE / PRÓX AO CAMPO DO NAUTICO;COLISÃO;ENTRE AUTO E MOTO. C/V;1;1;;;;;;;;1;
